Title,URL,Categories,"Published Date"
備前焼が切り拓く世界資産と現代アートへのパラダイムシフト,https://kakera.inc/curation/160/,CURATION,"2026-03-06 16:29:13"
"The Art Market 2024が示す真実。現代アート市場の収縮と歴史的資産",https://kakera.inc/curation/174/,CURATION,"2026-03-06 20:43:08"
伝統の周縁を拡張する試み──空間の再編が提示する「工芸的」なるものの新しい文脈,https://kakera.inc/curation/181/,CURATION,"2026-03-06 21:07:32"
"現代アート市場の現在地 投資対象から工芸的強度への回帰と浄化",https://kakera.inc/curation/187/,CURATION,"2026-03-07 19:29:30"
"都市開発と呼応するアートの生態系──「ART OSAKA 2026」が指し示す現代美術の新たな文脈",https://kakera.inc/curation/193/,CURATION,"2026-03-07 20:00:10"
"記憶の層位学：kudan houseで交差する「工芸」と「現代アート」の新たな文脈——CURATION⇄FAIR Tokyo 2026",https://kakera.inc/curation/199/,CURATION,"2026-03-08 09:39:10"
記憶の檻を解き放つ美学：旧奈良監獄が語る、建築と現代アートの静寂なる対話,https://kakera.inc/curation/214/,CURATION,"2026-03-08 10:25:29"
鉄の美学と静謐なる革新―和包丁が切り拓く、伝統工芸の「アート化」と世界市場への果てなき挑戦,https://kakera.inc/curation/224/,CURATION,"2026-03-08 12:56:28"
完璧のその先へ。人の手にしか宿らぬ熱量と、江戸東京から世界へ放つ「何が生まれる？展」の深層,https://kakera.inc/curation/230/,CURATION,"2026-03-08 13:15:43"
"記憶を織り、未来へ繋ぐ。Bank of Craftが描く「伝統と革新」の生態系",https://kakera.inc/curation/236/,CURATION,"2026-03-08 13:38:59"
"静謐なる革命の現在地――「KOGEI Art Fair Kanazawa 2025」が提示する、工芸と現代アートの新たなる地平",https://kakera.inc/curation/242/,CURATION,"2026-03-08 13:55:42"
境界の消失と新たな文脈の現前：先住民アートが示す現代美術の真なる射程,https://kakera.inc/curation/249/,CURATION,"2026-03-08 14:12:34"
"アロハシャツとは 歴史と起源から紐解く日系移民の逆転劇",https://kakera.inc/heritage/256/,HERITAGE,"2026-03-08 14:58:57"
西陣織と引箔──千年の歴史を織り込む静謐なる美学と至高の職人技,https://kakera.inc/heritage/264/,HERITAGE,"2026-03-08 15:42:20"
本金糸と千年の構造証明─西陣織を支える漆と和紙の定着技術,https://kakera.inc/heritage/274/,HERITAGE,"2026-03-09 19:00:09"
螺鈿細工と夜光貝｜ナノ構造が放つ構造色と千年を超える定着技術,https://kakera.inc/heritage/281/,HERITAGE,"2026-03-09 21:42:41"
プラチナ糸と西陣織｜不変と究極へ渇望する千年の金属箔定着技術,https://kakera.inc/heritage/287/,HERITAGE,"2026-03-09 22:00:58"
鳳凰の図像と再生の哲学｜平等院から紐解く西陣織の意匠,https://kakera.inc/heritage/309/,HERITAGE,"2026-03-10 09:30:49"
"琥珀の時を所有するということ ── 幻の軽井沢ウイスキーとKANDOBLANCが描く新たな文化の継承",https://kakera.inc/curation/316/,CURATION,"2026-03-10 13:15:22"
